date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:05:33	500/500	---M--	200	added ('OK')	text/plain	date:Fri,%2015%20Dec%202023%2014:35:32%20GMT	https://www.stellarhorizon.in/robots.txt		(from )
20:05:34	1927392/1927392	---MCZ	200	added ('OK')	text/html	etag:W/%22e584486519c989c4533a566948370191%22	https://www.stellarhorizon.in/	C:/My%20Web%20Sites/stellaaroha/www.stellarhorizon.in/index.html	(from )
20:05:35	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/stellaaroha/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.stellarhorizon.in/)
20:05:36	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/stellaaroha/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.stellarhorizon.in/)
20:05:36	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2015%20Dec%202023%2014:35:36%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/My%20Web%20Sites/stellaaroha/polyfill.io/v3/polyfill.mind82c.js	(from https://www.stellarhorizon.in/)
20:05:37	8370/8370	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Dec%202023%2010:24:02%20GMT	https://static.wixstatic.com/media/659744_d908102d62d848bba3fbc4b260e00ff7~mv2.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/AAROHA_LOGO_BG_edited.png	C:/My%20Web%20Sites/stellaaroha/static.wixstatic.com/media/659744_d908102d62d848bba3fbc4b260e00ff7_mv2.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/AAROHA_LOGO_BG_edited.png	(from https://www.stellarhorizon.in/)
20:05:40	1287272/1287272	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2014:35:39%20GMT	https://www.stellarhorizon.in/shop	C:/My%20Web%20Sites/stellaaroha/www.stellarhorizon.in/shop.html	(from https://www.stellarhorizon.in/)
20:05:42	665959/665959	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2014:35:41%20GMT	https://www.stellarhorizon.in/about	C:/My%20Web%20Sites/stellaaroha/www.stellarhorizon.in/about.html	(from https://www.stellarhorizon.in/)
20:05:45	700878/700878	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2014:35:43%20GMT	https://www.stellarhorizon.in/contact	C:/My%20Web%20Sites/stellaaroha/www.stellarhorizon.in/contact.html	(from https://www.stellarhorizon.in/)
20:05:47	839323/839323	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2014:35:45%20GMT	https://www.stellarhorizon.in/book-online	C:/My%20Web%20Sites/stellaaroha/www.stellarhorizon.in/book-online.html	(from https://www.stellarhorizon.in/)
20:05:48	2929/2929	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Dec%202023%2014:35:48%20GMT	https://www.stellarhorizon.in/media/emptystate.85a4add5.svg	C:/My%20Web%20Sites/stellaaroha/www.stellarhorizon.in/media/emptystate.85a4add5.9.delayed	(from https://www.stellarhorizon.in/)
20:05:49	195454/195454	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Dec%202023%2023:52:28%20GMT	https://static.wixstatic.com/media/7a82457d009c464d87ead3e489668e69.jpg/v1/fit/w_1920,h_947,q_90/7a82457d009c464d87ead3e489668e69.jpg	C:/My%20Web%20Sites/stellaaroha/static.wixstatic.com/media/7a82457d009c464d87ead3e489668e69.jpg/v1/fit/w_1920,h_947,q_90/7a82457d009c464d87ead3e489668e69.jpg	(from https://www.stellarhorizon.in/)
20:05:50	58276/58276	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Dec%202023%2010:24:15%20GMT	https://static.wixstatic.com/media/659744_2a5b5870d39e4df5a3f689befac0f1ad~mv2.png/v1/fill/w_299,h_299,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/659744_2a5b5870d39e4df5a3f689befac0f1ad~mv2.png	C:/My%20Web%20Sites/stellaaroha/static.wixstatic.com/media/659744_2a5b5870d39e4df5a3f689befac0f1ad_mv2.png/v1/fill/w_299,h_299,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/659744_2a5b5870d39e4df5a3f689befac0f1ad_mv2.png	(from https://www.stellarhorizon.in/)
20:05:50	1051304/1051304	---MCZ	200	added ('OK')	text/html	date:Fri,%2015%20Dec%202023%2014:35:48%20GMT	https://www.stellarhorizon.in/cart	C:/My%20Web%20Sites/stellaaroha/www.stellarhorizon.in/cart.html	(from https://www.stellarhorizon.in/)
20:05:51	661526/661526	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Dec%202023%2023:52:29%20GMT	https://static.wixstatic.com/media/11062b_cf7c9a85c2214374a8a1a69df1a859ba~mv2.jpeg/v1/fit/w_1920,h_947,q_90/11062b_cf7c9a85c2214374a8a1a69df1a859ba~mv2.jpeg	C:/My%20Web%20Sites/stellaaroha/static.wixstatic.com/media/11062b_cf7c9a85c2214374a8a1a69df1a859ba_mv2.jpeg/v1/fit/w_1920,h_947,q_90/11062b_cf7c9a85c2214374a8a1a69df1a859ba_mv2.jpg	(from https://www.stellarhorizon.in/)
